"","reference","species","compound","Mother_concentration","Mother_concentration_cen","Offspring_concentration","Offspring_concentration_cen","log_Kow_KOWWIN","logKOW_exp","logKOW_VEGA","Mol_Weigth_g.mol","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","RotatableBondCount","TopologicalPolarSurfaceArea","HeavyAtomCount","FormalCharge","Complexity","Volume","CASRN","PCB_coplanar","PCB_fourCl","PCB_twopara","PCB_twometa","compound_class_broad"
"64","Hebert et al 1993","C. serpentina","PCB 183",814.937793961105,FALSE,1403.63936439888,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"65","Hebert et al 1993","C. serpentina","PCB 172",161.149448106448,FALSE,253.154439049394,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"66","Hebert et al 1993","C. serpentina","PCB 201",820.202487001024,FALSE,1295.63947903075,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"67","Hebert et al 1993","C. serpentina","PCB 195",128.652333776868,FALSE,197.628019198509,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"68","Hebert et al 1993","C. serpentina","PCB 194",336.328356090072,FALSE,491.886604566636,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"69","Hebert et al 1993","C. serpentina","PCB 206",78.043530839304,FALSE,126.306480242311,FALSE,9.56,9.14,NA,"464.2",0,0,1,0,21,0,351,277.27,"40186-72-9","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"70","Hebert et al 1993","C. serpentina","Oxychlordane",118.098965282258,FALSE,111.440633327306,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"71","Hebert et al 1993","C. serpentina","Mirex",157.788013870968,FALSE,29.9485658047016,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"72","Hebert et al 1993","C. serpentina","PCB 118",213.50250858871,FALSE,148.185922549729,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"73","Hebert et al 1993","C. serpentina","PCB 138",321.118735564516,FALSE,206.878285714286,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"74","Hebert et al 1993","C. serpentina","PCB 194",78.0066381451613,FALSE,40.131567034358,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"75","Hebert et al 1993","C. serpentina","HCB",10.2661321589794,FALSE,6.42173110103627,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"76","Hebert et al 1993","C. serpentina","Oxychlordane",171.693015309127,FALSE,106.761897202073,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"77","Hebert et al 1993","C. serpentina","Mirex",49.5557678410206,FALSE,21.2934659715026,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"78","Hebert et al 1993","C. serpentina","PCB 99",41.442786673209,FALSE,29.8997381735751,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"79","Hebert et al 1993","C. serpentina","PCB 118",157.416382335623,FALSE,100.944837512953,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"80","Hebert et al 1993","C. serpentina","PCB 138",244.25855171737,FALSE,137.806473834197,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"81","Hebert et al 1993","C. serpentina","PCB 183",61.0137731403337,FALSE,29.8580214378238,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"82","Hebert et al 1993","C. serpentina","PCB 201",69.5236392345437,FALSE,30.8385868523316,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"83","Hebert et al 1993","C. serpentina","PCB 194",52.3897513444553,FALSE,18.2852835751295,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"84","Hebert et al 1993","C. serpentina","HCB",19.3499248620934,FALSE,31.0346872477064,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"85","Hebert et al 1993","C. serpentina","Mirex",71.8971899575672,FALSE,28.5253862003058,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"86","Hebert et al 1993","C. serpentina","PCB 99",400.577272277228,FALSE,431.794319036697,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"87","Hebert et al 1993","C. serpentina","PCB 118",812.247205091938,FALSE,848.148605504587,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"88","Hebert et al 1993","C. serpentina","PCB 146",132.42639218529,FALSE,113.324108944954,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"89","Hebert et al 1993","C. serpentina","PCB 138",1245.28010855728,FALSE,1004.3865382263,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"90","Hebert et al 1993","C. serpentina","PCB 183",275.688690664781,FALSE,165.443102828746,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"91","Hebert et al 1993","C. serpentina","PCB 172",68.7461363507779,FALSE,40.127273470948,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"92","Hebert et al 1993","C. serpentina","PCB 201",274.032586598303,FALSE,135.078950535168,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"93","Hebert et al 1993","C. serpentina","PCB 195",62.4069059405941,FALSE,26.5478574235474,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"94","Hebert et al 1993","C. serpentina","PCB 194",193.479296181047,FALSE,92.9858821865443,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"95","Hebert et al 1993","C. serpentina","PCB 206",75.7569626237624,FALSE,19.2617137232416,FALSE,9.56,9.14,NA,"464.2",0,0,1,0,21,0,351,277.27,"40186-72-9","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"96","Hebert et al 1993","C. serpentina","HCB",46.4075002159568,FALSE,36.855764522293,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"97","Hebert et al 1993","C. serpentina","Oxychlordane",284.587926994601,FALSE,208.615888407643,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"98","Hebert et al 1993","C. serpentina","PCB 99",462.877467726455,FALSE,323.939686305732,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"99","Hebert et al 1993","C. serpentina","PCB 118",1173.34121715657,FALSE,833.101944904459,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"100","Hebert et al 1993","C. serpentina","PCB 146",144.647294181164,FALSE,91.9164205095541,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"101","Hebert et al 1993","C. serpentina","PCB 105",110.691309658068,FALSE,73.4042978343949,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"102","Hebert et al 1993","C. serpentina","PCB 138",1632.74023335333,FALSE,1014.77210382166,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"103","Hebert et al 1993","C. serpentina","PCB 183",349.461479424115,FALSE,177.889457484076,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"104","Hebert et al 1993","C. serpentina","PCB 172",75.0995336532693,FALSE,31.8696649044586,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"105","Hebert et al 1993","C. serpentina","PCB 201",365.77655614877,FALSE,144.901796592357,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"106","Hebert et al 1993","C. serpentina","PCB 195",85.8213658668266,FALSE,29.4490815923567,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"107","Hebert et al 1993","C. serpentina","PCB 194",257.334368446311,FALSE,91.262473343949,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
