"","reference","species","compound","Mother_tissue","Mother_concentration","Mother_concentration_cen","Offspring_concentration","Offspring_concentration_cen","log_Kow_KOWWIN","logKOW_exp","logKOW_VEGA","Mol_Weigth_g.mol","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","RotatableBondCount","TopologicalPolarSurfaceArea","HeavyAtomCount","FormalCharge","Complexity","Volume","CASRN","PCB_coplanar","PCB_fourCl","PCB_twopara","PCB_twometa","compound_class_broad"
"80","Basile et al 2011","M. terrapin","PCB 170","liver_concentration",31.3479623824451,FALSE,26.6912669126691,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"35065-30-6","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"81","Basile et al 2011","M. terrapin","Mirex","liver_concentration",8.84012539184953,FALSE,6.10086100861009,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"82","Basile et al 2011","M. terrapin","PCB 199","liver_concentration",11.9122257053292,FALSE,8.32718327183272,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"52663-75-9","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"83","Basile et al 2011","M. terrapin","PCB 203_196","liver_concentration",28.2758620689655,FALSE,18.5731857318573,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,NA,263.74,NA,NA,NA,NA,NA,"PCB - Polychlorinated biphenyls"
"84","Basile et al 2011","M. terrapin","PCB 189","liver_concentration",2.25705329153605,FALSE,1.69741697416974,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,301,250.2,"39635-31-9","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"85","Basile et al 2011","M. terrapin","PCB 208","liver_concentration",5.17241379310345,FALSE,3.28413284132841,FALSE,9.56,8.16,NA,"464.2",0,0,1,0,21,0,337,277.27,"52663-77-1","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"86","Basile et al 2011","M. terrapin","PCB 195","liver_concentration",3.44827586206897,FALSE,2.73062730627306,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"87","Basile et al 2011","M. terrapin","PCB 207","liver_concentration",3.60501567398119,FALSE,1.89421894218942,FALSE,9.56,NA,NA,"464.2",0,0,1,0,21,0,351,277.27,"52663-79-3","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"88","Basile et al 2011","M. terrapin","PCB 194","liver_concentration",21.4420062695925,FALSE,13.4071340713407,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"89","Basile et al 2011","M. terrapin","PCB 206","liver_concentration",13.8557993730408,FALSE,7.2939729397294,FALSE,9.56,9.14,NA,"464.2",0,0,1,0,21,0,351,277.27,"40186-72-9","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
